Location Code,Name,Street,City,State,Country,Zipcode,Color,Photo URL,Description,,,
82bf373633a7452a45df6e8577668877,Mystery Road | Solo trip,,,,,,red,,"33.45086, 126.48784",,,
57b153676561844e88cceffd15634eb8,Busan | Trip with squad,,,,,,red,,"35.168018, 129.166031",,,
1bafd2f1b06ce33bcc679a542adbc2ce,Eulsukdo | Natural Reservation Trip,,,,,,red,,"35.112957, 128.945118",,,
f43aff2bc7cea07de1cba518844de662,Panmunjom (Propaganda Village) | DMZ trip,,,,,,red,,"37.955059, 126.677543",,,
1d1a10fb4c766197ef3a69b919f69a95,Jeonju Traditional Village | One-day trip,,,,,,red,,"35.815539, 127.153103",,,
8a11991fa99ac9f26125f6cc085dce89,Ilsan | Trip to Friends's,,,,,,red,,"37.657719, 126.791326",,,
7b48b4e20701821af5cbb98ea5871c82,Kashiwara | Lucio's place,,Kashiwara-shi,,Japan,582-0028,red,,"34.567842, 135.631842",,,
39428c37d29897cc617a9dec93b273a2,Osaka | Trip with Shuji,,Osaka,,Japan,,red,,"34.673751, 135.495495",,,
3805f8969bf29d2515f611a45979d281,Izumisano | Solo travel,,Izumisano,,Japan,,red,,"34.410268, 135.318206",,,
be0c50f73f52ad37f3024b43dc3844af,Nara | Solo trip,,Nara,,Japan,,red,,"34.683443, 135.805176",,,
58dc6ebd39839cdf0e9b2401573e5b8d,Kyoto | Solo Trip,,Kyoto,,Japan,,red,,"35.023024, 135.75814",,,
e7a8d8937dd15042647fb030eb395ec4,Valencia | TFG,,,,,,green,,"39.473324, -0.345128",,,
eddfcde237836abb8d17a4290021fa77,Castellon de la Plana | Las Magdalenas,,,,,,red,,"39.986011, -0.037248",,,
76e0b0a3d5805f08b0e307e3eb05bdb4,Benidorm | Erasmus Party Trip,,,,,,red,,"38.53732, -0.130289",,,
ba38cfefa4de9e2376e9f52485804492,Alicante | Erasmus Party Trip,,,,,,red,,"38.342893, -0.490893",,,
6f2688edcfcc70bd878bcfb49211b6ce,Sintra | Passeio com Lihyang,,,,,,red,,"38.796274, -9.396276",,,
ff1a6088ca9bb64ed82fcb9ae23c94e6,Krakow | Solo trip,,,,,,red,,"50.062332, 19.937745",,,
5c2d44cff4515dd16b44157fa48bd674,Auschwitz | Solo trip,,,,,,red,,"50.035313, 19.179463",,,
7a9a1adddd335ad2217b4e462801e77a,Warsaw | Solo trip and trip with parent's family,,,,,,red,,"52.238494, 21.004169",,,
f7b0e6f745e7b7b82aefd266cfc0163e,Gdansk | Solo travel,,,,,,red,,"54.356805, 18.654314",,,
838207d533a1717bf028e20a2b4c3fe7,Gdansk Pier | Solo travel,,,,,,red,,"54.414219, 18.625064",,,
677067771f9b85ecc13efee3c0ffd605,Lodz | Solo trip,,,,,,red,,"51.766661, 19.455865",,,
570175ef76725a3c2c05d291977fdd4d,Wroclaw | Solo trip,,,,,,red,,"51.113418, 17.034427",,,
e2f2311fe66901412b3e2798e05b9ea2,Berlin | Trip to Kiselevs,,,,,,red,,"52.526152, 13.404614",,,
27ae7ba4c985b2476e1b88d7dca85230,Rothenburg ob der Tauber | Trip with parents,,,,,,red,,"49.379234, 10.182763",,,
bd1e733006c96c78be7972cbd7d7a88c,Marburg | Internship SYNMIKRO,,,,,,green,,"50.801182, 8.76693",,,
8c9bed84a8d52cb79f3c471837649239,Kassel | Solo Trip,1 Gutenbergstraße,Kassel,,Germany,34127,red,,"51.323434, 9.502897",,,
55abfef1b773fc0b46cc88d2e69557b0,Frankfurt | Trip with parents,5 Launhardtstraße,Frankfurt am Main,,Germany,60314,red,,"50.121018, 8.662476",,,
cad56930959cd554d02b276dd8b66fd2,Schagen | Trip with dad,15 Markt,Schagen,,Netherlands,1741 BS,red,,"52.786849, 4.797134",,,
6af092584dc3246b0292ed5ac2007a68,Alkmaar | Trip with dad,,Alkmaar,,Netherlands,,red,,"52.633182, 4.746879",,,
c927427c133c5500111ae51ddf7c997d,Amsterdam | Trip with dad,,Amsterdam,,Netherlands,,red,,"52.375128, 4.895369",,,
3b6aaa20ea44eb35c3f6d1776eb241bf,NOS Festival,,Zambujeira do Mar,,Portugal,7630,red,,"37.548715, -8.770092",,,
1241c6d8ee08e3b824a0daeb731b967c,Aldeia proxima ao NOS Festival,,Odemira,,Portugal,7630,red,,"37.598512, -8.643929",,,
225f5979204a33f8a2834dbd1e751095,Aveiro | Casa dos pais do Sr. Gil,56 Rua Homem de Cristo,Aveiro,,Portugal,3810,red,,"40.641215, -8.652059",,,
b3d8122673cfdd4474aa8fa58599f972,Vic | Medieval Fair,,Vich,,Spain,8500,red,,"41.930462, 2.25334",,,
e5e61a793fc4eae6846beb314664a127,Capellades | Colonias Master,,Capellades,,Spain,,red,,"41.530529, 1.685138",,,
23aac0f77083d2e6e5636d95fb1e8b5a,Milan | Solo trip,,Milano,,Italy,,red,,"45.465662, 9.1876",,,
414217e88aa2419fea3d904ba98adc20,Bergamo | Solo trip,,Bergamo,,Italy,,red,,"45.703098, 9.663012",,,
feb3825fbd0b36fa273db42acc2c5b83,Sitges | Carnaval,,Sitges,,Spain,8870,red,,"41.234835, 1.807614",,,
827cf3000d3ca1cd4fd1487c5637b6cf,Puigcerda | Hiking,,Puigcerdà,,Spain,,red,,"42.433039, 1.929129",,,
3e7a65e7ddc19c099153159018bb025e,Ur | Hiking,,Ur,,France,66760,red,,"42.462194, 1.938103",,,
de4bc4a657c704a7decd18816e496e02,Llivia | Hiking,20456 Carrer Cana,Llívia,,Spain,17527,red,,"42.464731, 1.981485",,,
bc78dc9bffc350d633db18de722def87,Manchester | Trip with Lea,,Manchester,England,United Kingdom,,red,,"53.481869, -2.244328",,,
8ca2321f967e3a95c9b9ad63549ed6c3,Liverpool | Trip to Lea's,,Liverpool,England,United Kingdom,,red,,"53.406058, -2.986963",,,
8af0307938e669f89b6ef9f2af37c2d0,Salford | Lea's place,,Salford,England,United Kingdom,,red,,"53.488575, -2.292231",,,
